"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","0","-","2","0","0","0.00","5","caught","2","v Pakistan","Gujranwala","18 Dec 1989"
"2","0","2","2","0","0","0.00","5","caught","2","v New Zealand","Dunedin","1 Mar 1990"
"3","36","51","39","5","0","92.30","6","caught","1","v New Zealand","Wellington","6 Mar 1990"
"4","10","-","12","0","0","83.33","5","run out","1","v Sri Lanka","Sharjah","25 Apr 1990"
"5","20","-","25","1","0","80.00","7","caught","2","v Pakistan","Sharjah","27 Apr 1990"
"6","19","38","35","1","1","54.28","4","bowled","2","v England","Leeds","18 Jul 1990"
"7","31","31","26","3","0","119.23","6","bowled","2","v England","Nottingham","20 Jul 1990"
"8","36","-","22","3","2","163.63","5","bowled","1","v Sri Lanka","Nagpur","1 Dec 1990"
"9","53","-","41","7","1","129.26","5","bowled","2","v Sri Lanka","Pune","5 Dec 1990"
"10","30","-","29","1","2","103.44","5","caught","1","v Sri Lanka","Margao","8 Dec 1990"
"11","DNB","-","-","-","-","-","-","-","2","v Bangladesh","Chandigarh","25 Dec 1990"
"12","4","-","11","0","0","36.36","5","lbw","2","v Sri Lanka","Cuttack","28 Dec 1990"
"13","53","-","70","2","0","75.71","4","lbw","2","v Sri Lanka","Kolkata","4 Jan 1991"
"14","52*","-","40","5","0","130.00","5","not out","1","v Pakistan","Sharjah","18 Oct 1991"
"15","22","-","27","3","0","81.48","5","run out","1","v West Indies","Sharjah","19 Oct 1991"
"16","11*","-","27","1","0","40.74","5","not out","2","v West Indies","Sharjah","22 Oct 1991"
"17","49","-","38","3","2","128.94","5","caught","2","v Pakistan","Sharjah","23 Oct 1991"
"18","0","-","1","0","0","0.00","5","lbw","2","v Pakistan","Sharjah","25 Oct 1991"
"19","62","-","73","8","1","84.93","4","caught","2","v South Africa","Kolkata","10 Nov 1991"
"20","4","-","8","0","0","50.00","4","caught","1","v South Africa","Gwalior","12 Nov 1991"
"21","1","-","3","0","0","33.33","4","caught","1","v South Africa","New Delhi","14 Nov 1991"
"22","1","14","9","0","0","11.11","4","caught","1","v West Indies","Perth","6 Dec 1991"
"23","36","79","65","3","0","55.38","4","caught","1","v Australia","Perth","8 Dec 1991"
"24","57","111","107","3","0","53.27","4","caught","1","v Australia","Hobart","10 Dec 1991"
"25","48","62","57","2","0","84.21","4","caught","1","v West Indies","Adelaide","14 Dec 1991"
"26","21","38","35","3","0","60.00","4","caught","1","v Australia","Adelaide","15 Dec 1991"
"27","77","157","127","5","0","60.62","4","caught","1","v West Indies","Brisbane","11 Jan 1992"
"28","31","64","44","1","0","70.45","5","run out","1","v Australia","Sydney","14 Jan 1992"
"29","57*","118","88","2","0","64.77","4","not out","2","v West Indies","Melbourne","16 Jan 1992"
"30","4","12","10","0","0","40.00","4","caught","2","v Australia","Melbourne","18 Jan 1992"
"31","69","116","100","3","0","69.00","4","caught","2","v Australia","Sydney","20 Jan 1992"
"32","35","51","44","5","0","79.54","4","caught","2","v England","Perth","22 Feb 1992"
"33","DNB","-","-","-","-","-","-","-","1","v Sri Lanka","Mackay","28 Feb 1992"
"34","11","19","19","1","0","57.89","4","caught","2","v Australia","Brisbane","1 Mar 1992"
"35","54*","91","62","3","0","87.09","5","not out","1","v Pakistan","Sydney","4 Mar 1992"
"36","81","88","77","8","1","105.19","4","caught","1","v Zimbabwe","Hamilton","7 Mar 1992"
"37","4","11","11","0","0","36.36","4","caught","1","v West Indies","Wellington","10 Mar 1992"
"38","84","122","107","6","0","78.50","4","caught","1","v New Zealand","Dunedin","12 Mar 1992"
"39","14","14","14","1","0","100.00","4","caught","1","v South Africa","Adelaide","15 Mar 1992"
"40","39","92","56","7","0","69.64","4","caught","1","v Zimbabwe","Harare","25 Oct 1992"
"41","15","-","27","1","0","55.55","4","bowled","1","v South Africa","Cape Town","7 Dec 1992"
"42","10","-","36","0","0","27.77","4","caught","1","v South Africa","Port Elizabeth","9 Dec 1992"
"43","22","-","24","2","0","91.66","5","caught","2","v South Africa","Centurion","11 Dec 1992"
"44","21","-","44","1","0","47.72","5","caught","1","v South Africa","Johannesburg","13 Dec 1992"
"45","32","-","52","1","0","61.53","5","bowled","1","v South Africa","Bloemfontein","15 Dec 1992"
"46","23","-","39","0","0","58.97","5","caught","2","v South Africa","Durban","17 Dec 1992"
"47","21","-","38","3","0","55.26","3","caught","2","v South Africa","East London","19 Dec 1992"
"48","82*","116","81","6","1","101.23","5","not out","1","v England","Jaipur","18 Jan 1993"
"49","1","9","5","0","0","20.00","5","lbw","2","v England","Chandigarh","21 Jan 1993"
"50","3","7","6","0","0","50.00","4","caught","2","v England","Bengaluru","26 Feb 1993"
"51","24","42","32","1","0","75.00","4","bowled","1","v England","Jamshedpur","1 Mar 1993"
"52","5","7","6","1","0","83.33","5","bowled","2","v England","Gwalior","4 Mar 1993"
"53","34","42","30","2","1","113.33","5","caught","2","v England","Gwalior","5 Mar 1993"
"54","3","16","9","0","0","33.33","5","caught","1","v Zimbabwe","Faridabad","19 Mar 1993"
